x	y
1.868560342755454e+00	6.441031078001672e-01
1.868560342755190e+00	6.441031078009082e-01
1.868560342719462e+00	6.441031079012490e-01
1.868560342719293e+00	6.441031079017255e-01
1.868560342679004e+00	6.441031080148736e-01
1.868560342678194e+00	6.441031080171492e-01
-1.850265229800230e+00	5.343829354256574e-01
-1.850265229807623e+00	5.343829353990208e-01
1.821392406798555e+00	3.445461510110995e-01
-1.791158144790527e+00	1.329151912989754e-01
-1.791158144796769e+00	1.329151911999290e-01
-1.791158144810037e+00	1.329151909894042e-01
-1.674419693699639e+00	-6.255393822091333e-01
-1.674419693599585e+00	-6.255393824680774e-01
-1.674419693586785e+00	-6.255393825012036e-01
-1.674419693548350e+00	-6.255393826006772e-01
-1.674419693509932e+00	-6.255393827001033e-01
-1.674419693470710e+00	-6.255393828016148e-01
-1.674419693432292e+00	-6.255393829010409e-01
-1.674419693391311e+00	-6.255393830071018e-01
-1.495336310799112e+00	-9.712600475696471e-01
-1.495336310777799e+00	-9.712600476016697e-01
-1.435538749799455e+00	-8.304697134703132e-01
-1.435538749780227e+00	-8.304697135026449e-01
1.418848185700279e+00	-7.737044991531676e-01
1.418848185729742e+00	-7.737044990975073e-01
1.418848185782245e+00	-7.737044989983261e-01
-1.388204436099703e+00	-6.538263533354987e-01
-1.388204436067305e+00	-6.538263534020236e-01
-1.341045031254043e+00	-4.396517454025442e-01
1.318846628760772e+00	-3.307707746968435e-01
-1.281711408723126e+00	-1.434787209029382e-01
-1.281711408710306e+00	-1.434787210033608e-01
-7.565237456473037e-01	9.105681071994485e-01
-6.848413995138480e-01	8.063860677988760e-01
6.347040425802398e-01	7.213145660004219e-01
6.347040425772962e-01	7.213145660029051e-01
-6.201240691280292e-01	6.954943858995601e-01
-6.201240691285432e-01	6.954943858990820e-01
5.722680477921268e-01	6.091445219000122e-01
-5.571231337066367e-01	5.816636042979392e-01
5.094183860968196e-01	4.960243866860430e-01
-4.927922389240134e-01	4.668172427996973e-01
4.436878616875164e-01	3.836244410001315e-01
4.436878616851989e-01	3.836244410026344e-01
-4.244759537053855e-01	3.526108249994785e-01
-4.244759537197718e-01	3.526108249808246e-01
3.725304141616652e-01	2.740077553008324e-01
3.725304141616156e-01	2.740077553008938e-01
3.725304140989814e-01	2.740077553787615e-01
3.725304140985608e-01	2.740077553792842e-01
-3.491001640089005e-01	2.413355539807981e-01
2.928196695343143e-01	1.706474478005938e-01
2.928196694988300e-01	1.706474478539825e-01
-2.625040471001096e-01	1.373808943257734e-01
-2.625040471119687e-01	1.373808942988384e-01
2.006570237050379e-01	8.043948130033352e-02
2.006570236987441e-01	8.043948131261663e-02
-1.592608497645109e-01	5.070628269895369e-02
9.287963514421044e-02	1.725239720055989e-02
9.287963510284919e-02	1.725239730053103e-02
-3.667551399989943e-02	2.690183439356391e-03
-3.667551399948982e-02	2.690183438451274e-03
-9.682381449281392e-14	4.910335295261676e-13
-2.642912648524701e-02	1.396996999785409e-03
-2.642912648597488e-02	1.396996998921101e-03
-2.642912648980603e-02	1.396996994372047e-03
-2.642912649117576e-02	1.396996992745660e-03
9.244375030388130e-02	1.709086170068599e-02
9.244375030656740e-02	1.709086180087175e-02
-1.420350957901796e-01	4.033699039988209e-02
-1.420350957905200e-01	4.033699039910188e-02
-1.420350958009694e-01	4.033699037514760e-02
-1.420350958012975e-01	4.033699037439555e-02
2.068848931691170e-01	8.549820940152275e-02
-2.428240708003199e-01	1.176539176427716e-01
-2.428240708253863e-01	1.176539175995131e-01
3.021444061369656e-01	1.815697345007600e-01
-3.290229248010829e-01	2.148245383794865e-01
-3.290229248598487e-01	2.148245382987650e-01
3.832199533994662e-01	2.895101820893260e-01
3.832199533993292e-01	2.895101820895241e-01
3.832199533916642e-01	2.895101821005998e-01
3.832199533916448e-01	2.895101821006279e-01
3.832199533226899e-01	2.895101822002659e-01
3.832199533222409e-01	2.895101822009147e-01
-4.045495208714696e-01	3.215070705990685e-01
-4.045495209011668e-01	3.215070705645323e-01
4.550703625168553e-01	4.024376324006044e-01
4.550703625163376e-01	4.024376324012299e-01
4.550703624982682e-01	4.024376324230708e-01
4.550703624977478e-01	4.024376324236997e-01
-4.729890591999883e-01	4.326565327995828e-01
-4.729890592040273e-01	4.326565327954348e-01
5.213029705681687e-01	5.171464350006554e-01
5.213029705668115e-01	5.171464350020999e-01
-5.371622892001248e-01	5.455847060811426e-01
-5.371622892870657e-01	5.455847059999039e-01
-5.371622892950453e-01	5.455847059924479e-01
5.847239825995195e-01	6.317465644559296e-01
5.847239825524757e-01	6.317465645015455e-01
-5.995089384947616e-01	6.584985382998836e-01
-5.995089384963300e-01	6.584985382985188e-01
-6.626819560424474e-01	7.696512567990144e-01
-6.626819561031165e-01	7.696512567488227e-01
-7.307646486015249e-01	8.762548580083768e-01
-7.307646486198652e-01	8.762548579936187e-01
-1.279431744156431e+00	-1.319129250141340e-01
-1.279431744148599e+00	-1.319129251037366e-01
-1.279431744139876e+00	-1.319129252035213e-01
-1.279431744113708e+00	-1.319129255028777e-01
1.310806266567348e+00	-2.905805226973222e-01
-1.343079303923140e+00	-4.494337656001150e-01
-1.343079303899748e+00	-4.494337656734460e-01
1.362219061639660e+00	-5.393700989980666e-01
1.362219061639835e+00	-5.393700989976431e-01
-1.391907996299542e+00	-6.692679286937618e-01
-1.391907996299331e+00	-6.692679286942145e-01
-1.391907996295559e+00	-6.692679287023252e-01
-1.391907996294838e+00	-6.692679287038777e-01
1.408426668100277e+00	-7.350488356751762e-01
1.408426668141990e+00	-7.350488355976458e-01
-1.441002976219854e+00	-8.475684559001447e-01
-1.441002976199576e+00	-8.475684559355835e-01
-1.784007086044213e+00	8.208479869987106e-02
-1.784007086044272e+00	8.208479869881946e-02
-1.784007086049989e+00	8.208479859895769e-02
-1.784007086049999e+00	8.208479859878030e-02
-1.784007086055726e+00	8.208479849872846e-02
-1.784007086055764e+00	8.208479849805697e-02
-1.784007086061423e+00	8.208479839920876e-02
-1.784007086061453e+00	8.208479839867662e-02
-1.784007086067179e+00	8.208479829863746e-02
-1.784007086067199e+00	8.208479829829539e-02
-1.784007086072857e+00	8.208479819944715e-02
-1.784007086072905e+00	8.208479819859828e-02
-1.784007086078632e+00	8.208479809854645e-02
-1.784007086078633e+00	8.208479809853378e-02
-1.784007086084291e+00	8.208479799968554e-02
-1.784007086084358e+00	8.208479799850728e-02
-1.784007086084627e+00	8.208479799381953e-02
-1.784007086084762e+00	8.208479799145031e-02
-1.666743609799969e+00	-6.647183689522046e-01
-1.666743609781366e+00	-6.647183690004054e-01
-1.666743609780245e+00	-6.647183690033079e-01
-1.505401913299793e+00	-9.838581659984588e-01
-1.505401913297133e+00	-9.838581660026285e-01
-1.505401913286200e+00	-9.838581660197703e-01
1.543163721300176e+00	-9.987342380704129e-01
1.543163721347035e+00	-9.987342379997087e-01
1.543163721357902e+00	-9.987342379833117e-01
1.610761103000379e+00	-8.885076834829060e-01
1.610761103100201e+00	-8.885076833065018e-01
1.610761103104257e+00	-8.885076832993347e-01
1.610761103160560e+00	-8.885076831998356e-01
1.610761103200024e+00	-8.885076831300978e-01
1.610761103217431e+00	-8.885076830993357e-01
1.610761103273722e+00	-8.885076829998595e-01
1.610761103275550e+00	-8.885076829966285e-01
1.821250712799715e+00	3.435768937304565e-01
1.821250712787047e+00	3.435768938018275e-01
1.821250712769536e+00	3.435768939004812e-01
1.821250712751657e+00	3.435768940012097e-01
1.821250712749420e+00	3.435768940138137e-01
-1.843266654600443e+00	4.899902892805986e-01
-1.843266654623145e+00	4.899902891986689e-01
-1.843266654650501e+00	4.899902890999432e-01
-1.843266654678438e+00	4.899902889991146e-01
-1.843266654680762e+00	4.899902889907297e-01
1.870549885499731e+00	6.554123398014785e-01
1.870549885465765e+00	6.554123399016474e-01
1.870549885431802e+00	6.554123400018027e-01
1.870549885427555e+00	6.554123400143272e-01
-1.887860450300710e+00	7.478707823082491e-01
-1.887860450304511e+00	7.478707822989225e-01
2.204704256064359e+00	-2.923313292977416e-01
2.204704256078524e+00	-2.923313291978218e-01
-2.233423529099908e+00	-5.240364260170394e-01
-2.233423529099837e+00	-5.240364260173574e-01
-2.233423529080792e+00	-5.240364261018283e-01
-2.233423529035827e+00	-5.240364263012698e-01
