x	y
1.327245	-1.496135
1.371114	-1.455214
1.413722	-1.413008
1.455033	-1.369555
1.495010	-1.324897
1.533617	-1.279073
1.570822	-1.232125
1.606590	-1.184097
1.640891	-1.135032
1.673695	-1.084976
1.704974	-1.033973
1.734699	-0.982071
1.762845	-0.929316
1.789388	-0.875757
1.814305	-0.821442
1.837575	-0.766420
1.859177	-0.710742
1.879093	-0.654458
1.897306	-0.597619
1.913800	-0.540276
1.928563	-0.482482
1.941581	-0.424289
1.952845	-0.365749
1.962344	-0.306915
1.970072	-0.247840
1.976022	-0.188579
1.980191	-0.129183
1.982575	-0.069707
1.983174	-0.010204
1.981988	0.049272
1.979019	0.108668
1.974271	0.167929
1.967749	0.227004
1.959461	0.285839
1.949415	0.344381
1.937620	0.402578
1.924089	0.460377
1.908835	0.517727
1.891873	0.574576
1.873218	0.630874
1.852889	0.686569
1.830905	0.741614
1.807287	0.795957
1.782057	0.849551
1.755239	0.902348
1.726858	0.954301
1.696940	1.005364
1.665513	1.055491
1.632607	1.104638
1.598251	1.152761
1.562479	1.199817
1.525322	1.245765
1.486815	1.290564
1.446994	1.334174
1.405895	1.376557
1.363556	1.417676
1.320016	1.457494
1.275314	1.495976
1.229492	1.533088
1.182592	1.568799
1.134657	1.603075
1.085729	1.635889
1.035855	1.667210
0.985079	1.697012
0.933447	1.725268
0.881007	1.751955
0.827807	1.777049
0.773894	1.800529
0.719317	1.822374
0.664127	1.842566
0.608373	1.861087
0.552106	1.877923
0.495377	1.893058
0.438236	1.906480
0.380736	1.918179
0.322929	1.928145
0.264867	1.936369
0.206602	1.942846
0.148187	1.947571
0.089674	1.950540
0.031117	1.951752
-0.027433	1.951207
-0.085921	1.948907
-0.144297	1.944854
-0.202506	1.939054
-0.260498	1.931513
-0.318219	1.922238
-0.375619	1.911239
-0.432645	1.898527
-0.489247	1.884115
-0.545374	1.868016
-0.600975	1.850246
-0.656001	1.830822
-0.710403	1.809763
-0.764132	1.787088
-0.817141	1.762819
-0.869381	1.736978
-0.920807	1.709591
-0.971373	1.680682
-1.021033	1.650279
-1.069743	1.618409
-1.117461	1.585103
-1.164144	1.550391
-1.209751	1.514306
-1.254240	1.476880
-1.297574	1.438149
-1.339713	1.398147
-1.380620	1.356912
-1.420260	1.314481
-1.458597	1.270894
-1.495598	1.226191
-1.531230	1.180411
-1.565462	1.133598
-1.598264	1.085794
-1.629607	1.037043
-1.659465	0.987389
-1.687811	0.936877
-1.714621	0.885553
-1.739871	0.833464
-1.763539	0.780658
-1.785606	0.727182
-1.806053	0.673085
-1.824861	0.618417
-1.842016	0.563225
-1.857503	0.507561
-1.871308	0.451476
-1.883421	0.395019
-1.893832	0.338241
-1.902532	0.281195
-1.909515	0.223931
-1.914774	0.166501
-1.918308	0.108958
-1.920113	0.051352
-1.920190	-0.006264
-1.918538	-0.063838
-1.915161	-0.121319
-1.910063	-0.178655
-1.903249	-0.235794
-1.894727	-0.292685
-1.884505	-0.349277
-1.872594	-0.405520
-1.859006	-0.461362
-1.843753	-0.516755
-1.826850	-0.571647
-1.808314	-0.625991
-1.788163	-0.679737
-1.766415	-0.732838
-1.743091	-0.785247
-1.718214	-0.836915
-1.691805	-0.887799
-1.663892	-0.937851
-1.634498	-0.987028
-1.603652	-1.035286
-1.571382	-1.082582
-1.537719	-1.128875
-1.502693	-1.174122
-1.466337	-1.218284
-1.428684	-1.261322
-1.389770	-1.303199
-1.349629	-1.343876
-1.308300	-1.383318
-1.265818	-1.421490
-1.222225	-1.458360
-1.177560	-1.493894
-1.131862	-1.528061
-1.085176	-1.560831
-1.037542	-1.592177
-0.989005	-1.622070
-0.939608	-1.650484
-0.889397	-1.677395
-0.838417	-1.702780
-0.786716	-1.726617
-0.734339	-1.748884
-0.681334	-1.769564
-0.627750	-1.788639
-0.573635	-1.806092
-0.519037	-1.821909
-0.464008	-1.836076
-0.408595	-1.848582
-0.352851	-1.859417
-0.296824	-1.868572
-0.240565	-1.876039
-0.184126	-1.881814
-0.127556	-1.885891
-0.070908	-1.888269
-0.014232	-1.888946
0.042421	-1.887923
0.098999	-1.885202
0.155453	-1.880787
0.211731	-1.874681
0.267782	-1.866893
0.323557	-1.857429
0.379006	-1.846301
0.434078	-1.833517
0.488724	-1.819093
0.542896	-1.803040
0.596544	-1.785375
0.649622	-1.766115
0.702081	-1.745278
0.753875	-1.722884
0.804958	-1.698953
0.855284	-1.673510
0.904807	-1.646576
0.953486	-1.618178
1.001275	-1.588342
1.048132	-1.557096
1.094017	-1.524469
1.138887	-1.490490
1.182704	-1.455193
1.225429	-1.418608
1.267024	-1.380770
1.307452	-1.341714
1.346678	-1.301476
1.384666	-1.260092
1.421385	-1.217601
1.456801	-1.174041
1.490883	-1.129453
1.523601	-1.083878
1.554928	-1.037356
1.584836	-0.989930
1.613298	-0.941644
1.640290	-0.892542
1.665789	-0.842668
1.689772	-0.792068
1.712220	-0.740788
